Organization Name,Organization Name URL,Operating Status,Company Type,IPO Status,Estimated Revenue Range,Number of Employees,Headquarters Location,Last Funding Type,Total Funding Amount,Total Funding Amount Currency,Total Funding Amount Currency (in USD),Full Description,Industries,Description,Founded Date,Founded Date Precision,Website
Twelve,https://www.crunchbase.com/organization/opus-12,Active,For Profit,Private,,101-250,"Berkeley, California, United States",Series B,199434997,USD,199434997,"Twelve is the carbon transformation company, a new kind of chemical company built for the climate era. The company makes essential products from air, not oil. Its technology eliminates emissions by transforming CO2 into critical chemicals, materials, and fuels that today are made from fossil fuels.","Chemical, Fuel, GreenTech, Oil and Gas",Twelve is a carbon transformation company that eliminates emissions by turning CO2 into essential products.,2015-01-01,year,http://www.twelve.co
Electric Hydrogen,https://www.crunchbase.com/organization/electric-hydrogen-co,Active,For Profit,Private,,101-250,"Natick, Massachusetts, United States",Series B,222000000,USD,222000000,"Electric Hydrogen (EH2) is a deep decarbonization company building low-cost, high-efficiency, fossil-free hydrogen systems. Industrial sectors like ammonia and steel production account for a third of global GHGs and will require fossil-free hydrogen at cost parity to eliminate CO2 emissions. Electric Hydrogen is rethinking electrolysis from the ground up to compete with dirty hydrogen on cost and scale. The company's technology brings hydrogen solutions to industry, infrastructure, freight and beyond. The experience of Electric Hydrogen's leadership team at revolutionary clean energy companies like Tesla and First Solar makes EH2 a qualified hydrogen company to break through today’s barriers of efficiency and cost to make measurable progress toward a zero-emission industrial sector in this decade.","Clean Energy, CleanTech, Energy, Industrial","Electric Hydrogen develops electrolyzer technologies to enable abundant, low-cost, and clean hydrogen to replace fossil fuels.",2021-01-01,year,https://www.eh2.com
Arcadia,https://www.crunchbase.com/organization/arcadia-power-2,Active,For Profit,Private,$100M to $500M,251-500,"Washington, District of Columbia, United States",Series E,370500000,USD,370500000,"Arcadia is a climate crisis-fighting technology company founded in 2014 and born out of a simple idea—everyone deserves access to clean energy. Arcadia breaks the fossil fuel monopoly by creating unprecedented access to energy data and renewable energy sources through its technology platform, Arc, and its community solar program. Arc fuels the renewable energy revolution by democratizing access to energy data from 125 utilities nationwide, covering more than 80% of US electric utility accounts. Arcadia also manages the nation’s leading community solar program, helping to tackle energy injustice while spurring economic growth with more than five Terawatt-hours of residential and commercial energy demand.","Clean Energy, CleanTech, Database, Renewable Energy, Solar",Arcadia is a climate software and data company that specializes in decarbonizing the electric grid.,2014-01-01,year,https://www.arcadia.com
Lightyear,https://www.crunchbase.com/organization/lightyear,Active,For Profit,Private,$1M to $10M,101-250,"Helmond, Noord-Brabant, The Netherlands",Corporate Round,103656002,USD,103656002,"Lightyear, an international team of 90 engineers including triple winners of the World Solar Challenge, experienced engineers (18Lightyear, an international team of 90 engineers including triple winners of the World Solar Challenge, experienced engineers (180+ years) from the aerospace, racing and automotive industry (e.g. ASML, Tesla, Ferrari and Inalfa) and alumni of the Eindhoven University of Technology, develops the first commercially available electric solar car in the world that charges itself: the Lightyear One.","Automotive, Electric Vehicle, Energy, Manufacturing, Solar",Lightyear is a Netherlands-based solar electric car company that develops an ultra-energy-efficient automotive platform.,2016-11-12,day,http://www.lightyear.one/
Electrify America,https://www.crunchbase.com/organization/electrify-america,Active,For Profit,Private,,101-250,"Reston, Virginia, United States",Corporate Round,450000000,USD,450000000,"Electrify America is a company that owns and manages an electric vehicle charging network. Electrify America offers transformative, customer-centric infrastructure and energy management solutions. The company's charging stations will be an average of only 70 miles apart on major routes across the continental United States.  It is a subsidiary of Volkswagen Group of America. Electrify America is committed to building awareness of electric vehicles through education and outreach.","Automotive, Electric Vehicle, Energy, Energy Management",Electrify America provides a network of convenient fast-charging stations to power electric vehicles.,2016-01-01,year,https://www.electrifyamerica.com
Ather Energy,https://www.crunchbase.com/organization/ather-energy,Active,For Profit,Private,$10M to $50M,1001-5000,"Bangalore, Karnataka, India",Series E,286847168,USD,286847168,Ather Energy is a manufacturer of electric scooters and an electric vehicle charging network called AtherGrid. It focuses on building a complete ecosystem for India’s electric vehicles which are powered by indigenous design and all locally manufactured.,"Clean Energy, Electric Vehicle, Transportation",Ather Energy operates as a manufacturer of electric scooters.,2013-01-01,year,http://www.atherenergy.com
Schneider Electric,https://www.crunchbase.com/organization/schneider-electric,Active,For Profit,Private,$1B to $10B,10001+,"Rueil-malmaison, Ile-de-France, France",Grant,1600000,USD,1600000,"Schneider Electric is an electric company that creates and develops products that help people conserve energy. Schneider Electric is leading the digital transformation of energy management and automation in homes, buildings, data centers, infrastructure, and industries.  With global presence in over 100 countries, Schneider is the undisputable leader in Power Management – Medium Voltage, Low Voltage and Secure Power, and in Automation Systems. They provide integrated efficiency solutions, combining energy, automation, and software.","Electronics, Energy, Energy Management, Information Technology, Renewable Energy",Schneider Electric is an electric company that creates and develops products that help people conserve energy.,1836-01-01,year,https://www.se.com
SparkCharge,https://www.crunchbase.com/organization/sparkcharge,Active,For Profit,Private,$1M to $10M,11-50,"Somerville, Massachusetts, United States",Grant,49647802,USD,49647802,"SparkCharge is an automotive company that manufactures and develops charging stations for electric vehicles. Its product features include portability, fast charging, and modular design. The company specializes in providing solutions for electric vehicles, cars, and electric charging. SparkCharge was founded in 2017 and headquartered in Somerville, Massachusetts.","Automotive, Electric Vehicle, Energy Storage, GreenTech",SparkCharge is an automotive company that offers mobile and convenient charging stations for electric vehicles.,2017-01-01,year,https://sparkcharge.io
Amogy,https://www.crunchbase.com/organization/amogy,Active,For Profit,Private,,51-100,"Brooklyn, New York, United States",Corporate Round,68350000,USD,68350000,"Amogy is a sustainable energy start-up located in Brooklyn, New York, and is working on a novel carbon-free energy system using ammonia as a renewable fuel. The innovative solution enables the decarbonization of ground/sea/air transportations, accelerating our journey towards the Net Zero Economy.","Clean Energy, CleanTech, Energy, Product Research, Renewable Energy, Sustainability",Amogy builds an innovative clean energy system using ammonia as a renewable fuel,2020-11-18,day,https://www.amogy.co/
Blue Origin,https://www.crunchbase.com/organization/blue-origin,Active,For Profit,Private,$100M to $500M,1001-5000,"Kent, Washington, United States",Grant,167350000,USD,167350000,"Blue Origin is an aerospace company that focuses on lowering the cost of spaceflight and helping to explore the solar system. Blue Origin’s engines are designed, developed and manufactured in the United States. They provide great control with a precisely timed start, high-power thrust for launch, deep throttling for landing, and stop and restart capabilities. Since our first, simple, single-propellant engine – the BE-1 – we’ve built and tested multiple generations for suborbital and orbital spaceflight.","Aerospace, Manufacturing, National Security, Renewable Energy",Blue Origin is an aerospace company that focuses on lowering the cost of spaceflight and helping to explore the solar system.,2000-09-08,day,http://www.blueorigin.com
